Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,What Type of Surface is the Graffiti on?,Where is the Graffiti located?,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location
10/13/2017,Completed,10/13/2017,17-06889680,Graffiti Removal,Metal - Painted,Front,4650 N BROADWAY,60640,1167828.94810807,1931176.20827749,46,19,3,34,41.96665701852993,-87.65843628319564,"(41.96665701852993, -87.65843628319564)"
10/13/2017,Completed,10/13/2017,17-06889689,Graffiti Removal,Brick - Painted,Front,4616 N CLIFTON AVE,60640,1167697.85007731,1930788.19667845,46,19,3,34,41.96588799206539,-87.65901077607852,"(41.96588799206539, -87.65901077607852)"
10/13/2017,Completed,10/13/2017,17-06889695,Graffiti Removal,Metal - Painted,Pole,3464 N CLARK ST,60657,1168883.54628935,1923256.04551361,44,19,6,17,41.94510472400754,-87.65499770400967,"(41.94510472400754, -87.65499770400967)"
10/13/2017,Completed,10/13/2017,17-06889696,Graffiti Removal,Glass,Rear,4833 N BROADWAY,60640,1167439.61117339,1932370.94002437,46,20,3,34,41.97000947771224,-87.65955043461703,"(41.97000947771224, -87.65955043461703)"
10/13/2017,Completed,10/13/2017,17-06889703,Graffiti Removal,Metal - Painted,Pole,3462 N CLARK ST,60657,1168892.84628935,1923241.84551361,44,19,6,17,41.945049680893675,-87.65495322178364,"(41.945049680893675, -87.65495322178364)"
10/13/2017,Completed,10/13/2017,17-06889704,Graffiti Removal,Metal - Painted,Dumpster,4887 N BROADWAY,60640,1167427.05997978,1932817.64000833,46,20,3,34,41.97135473935903,-87.65958573179742,"(41.97135473935903, -87.65958573179742)"
10/13/2017,Completed,10/13/2017,17-06889742,Graffiti Removal,Metal - Painted,Dumpster,4863 N BROADWAY,60640,1167432.21117339,1932634.14002437,46,20,3,34,41.97080642960141,-87.65957208352962,"(41.97080642960141, -87.65957208352962)"
10/13/2017,Completed,10/13/2017,17-06889755,Graffiti Removal,Metal - Painted,Pole,3448 N CLARK ST,60657,1168958.34628935,1923142.14551361,44,19,6,17,41.944655825987546,-87.65462806508359,"(41.944655825987546, -87.65462806508359)"
10/13/2017,Completed,10/13/2017,17-06889759,Graffiti Removal,Metal - Painted,Front,4823 N BROADWAY,60640,1167442.61117339,1932265.44002437,46,20,3,34,41.969721915343165,-87.65954187672773,"(41.969721915343165, -87.65954187672773)"
10/13/2017,Completed,10/13/2017,17-06889769,Graffiti Removal,Metal - Painted,Door,2500 W 21ST ST,60608,1160083.5902226,1889996.64418778,24,10,31,,41.85396591224263,-87.68805347715329,"(41.85396591224263, -87.68805347715329)"
